age,policy_number,insured_sex,insured_education_level,incident_date,incident_type,collision_type,incident_severity,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year
41,795686,MALE,Masters,2015-02-01,Multi-vehicle Collision,Side Collision,Major Damage,NC,Northbend,4672 MLK St,13,3,?,2,64000,12800,6400,44800,BMW,X6,1996
38,395983,FEMALE,MD,2015-01-19,Single Vehicle Collision,Front Collision,Minor Damage,WV,Northbrook,2204 Washington Lane,21,1,?,1,47300,4730,4730,37840,Nissan,Pathfinder,2014
27,119513,MALE,PhD,2015-02-18,Single Vehicle Collision,Rear Collision,Major Damage,SC,Springfield,9484 Pine Drive,14,1,NO,2,71680,8960,8960,53760,Volkswagen,Jetta,2007
41,217938,FEMALE,JD,2015-02-08,Single Vehicle Collision,Side Collision,Major Damage,SC,Springfield,5431 3rd Ridge,1,1,?,1,112320,17280,17280,77760,Suburu,Impreza,2011
32,203914,FEMALE,PhD,2015-01-09,Single Vehicle Collision,Side Collision,Total Loss,NY,Columbus,7121 Britain Drive,17,1,?,1,82720,7520,15040,60160,Audi,A3,2014
45,565157,MALE,Masters,2015-02-27,Multi-vehicle Collision,Rear Collision,Major Damage,NC,Hillsdale,8586 1st Ridge,4,3,?,2,48060,10680,5340,32040,Mercedes,C300,2009
32,904191,MALE,High School,2015-01-08,Multi-vehicle Collision,Rear Collision,Total Loss,NY,Riverwood,7582 Pine Drive,23,3,YES,1,63570,9780,9780,44010,Volkswagen,Jetta,2006
54,419510,FEMALE,Masters,2015-01-08,Multi-vehicle Collision,Rear Collision,Total Loss,WV,Columbus,1388 Embaracadero Hwy,13,3,NO,2,63240,10540,10540,42160,Suburu,Forrestor,1997
33,575000,FEMALE,Masters,2015-02-24,Multi-vehicle Collision,Rear Collision,Minor Damage,NC,Northbrook,5621 4th Ave,20,3,NO,1,54240,9040,9040,36160,Saab,93,2013
50,120485,MALE,Associate,2015-02-12,Single Vehicle Collision,Front Collision,Major Damage,NY,Riverwood,8150 Washington Ridge,16,1,YES,2,37280,0,0,37280,Audi,A5,1996
61,781181,MALE,JD,2015-02-18,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Columbus,4268 2nd Ave,10,3,?,2,72100,7210,14420,50470,Jeep,Wrangler,2006
59,299796,FEMALE,JD,2015-02-06,Parked Car,?,Minor Damage,WV,Northbend,6375 2nd Lane,8,1,?,2,6500,1300,650,4550,Saab,92x,2013
38,589749,MALE,Masters,2015-02-14,Multi-vehicle Collision,Front Collision,Total Loss,WV,Springfield,3770 Flute Drive,17,3,?,2,78240,13040,13040,52160,Suburu,Legacy,2013
29,854021,FEMALE,JD,2015-02-05,Vehicle Theft,?,Minor Damage,NY,Columbus,1562 Britain St,9,1,?,2,6200,1240,620,4340,Honda,Accord,1999
36,454086,FEMALE,Associate,2015-01-25,Parked Car,?,Minor Damage,VA,Springfield,1681 Cherokee Hwy,0,1,YES,2,6160,560,1680,3920,Mercedes,E400,2014
48,139484,FEMALE,MD,2015-01-16,Single Vehicle Collision,Front Collision,Total Loss,SC,Northbrook,7523 Oak Lane,12,1,?,2,76050,11700,11700,52650,Chevrolet,Silverado,1997
48,678849,FEMALE,MD,2015-01-28,Multi-vehicle Collision,Side Collision,Total Loss,NY,Hillsdale,1815 Cherokee Drive,20,2,NO,2,86060,13240,13240,59580,Volkswagen,Passat,2002
30,346940,FEMALE,Masters,2015-01-21,Single Vehicle Collision,Front Collision,Major Damage,SC,Arlington,9316 Pine Ave,3,1,YES,2,107900,10790,21580,75530,Dodge,Neon,1997
34,985436,FEMALE,Masters,2015-01-07,Multi-vehicle Collision,Rear Collision,Total Loss,PA,Columbus,2733 Texas Drive,18,3,NO,2,99990,18180,18180,63630,Mercedes,E400,2011
29,237418,FEMALE,PhD,2015-02-23,Multi-vehicle Collision,Side Collision,Minor Damage,WV,Columbus,7684 Francis Ridge,4,3,NO,2,61380,11160,5580,44640,Suburu,Legacy,2012
28,335780,FEMALE,Associate,2015-02-14,Single Vehicle Collision,Rear Collision,Major Damage,WV,Riverwood,8991 Embaracadero Ave,18,1,?,2,71280,12960,12960,45360,Audi,A5,2012
45,491392,MALE,High School,2015-02-27,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Northbend,4905 Francis Ave,18,3,NO,0,64000,12800,6400,44800,Saab,95,1999
46,140880,FEMALE,Masters,2015-02-21,Parked Car,?,Trivial Damage,SC,Hillsdale,7783 Lincoln Hwy,7,1,?,0,5940,660,660,4620,Toyota,Highlander,2015
37,962591,MALE,High School,2015-01-05,Parked Car,?,Minor Damage,NY,Hillsdale,8749 Tree St,18,1,NO,1,6700,670,670,5360,Jeep,Wrangler,2011
42,922565,MALE,Associate,2015-01-30,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Arlington,4985 Sky Lane,23,3,YES,0,51740,11940,7960,31840,Jeep,Wrangler,2006
28,288580,MALE,High School,2015-02-26,Single Vehicle Collision,Rear Collision,Total Loss,PA,Riverwood,7534 MLK Hwy,1,1,?,0,53600,6700,6700,40200,Volkswagen,Jetta,2007
29,154280,MALE,College,2015-01-10,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Arlington,8689 Maple Hwy,15,3,YES,1,44910,4990,4990,34930,Dodge,Neon,2001
31,425973,FEMALE,MD,2015-02-23,Multi-vehicle Collision,Front Collision,Major Damage,PA,Hillsdale,9153 3rd Hwy,2,3,?,0,48100,11100,7400,29600,Volkswagen,Jetta,2014
44,477177,FEMALE,PhD,2015-02-05,Vehicle Theft,?,Trivial Damage,WV,Riverwood,5904 1st Drive,3,1,NO,0,6100,610,1220,4270,Ford,Fusion,2002
46,648509,MALE,MD,2015-01-21,Single Vehicle Collision,Rear Collision,Minor Damage,PA,Hillsdale,4519 Embaracadero St,13,1,?,1,79600,15920,15920,47760,Jeep,Wrangler,2011
34,914815,MALE,Masters,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,OH,Hillsdale,9706 MLK Lane,1,1,NO,1,77040,8560,8560,59920,Honda,Civic,1998
45,249048,FEMALE,PhD,2015-01-11,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Columbus,6012 Texas Hwy,16,1,YES,0,62590,11380,11380,39830,Volkswagen,Jetta,2003
40,144323,FEMALE,Masters,2015-02-06,Single Vehicle Collision,Front Collision,Total Loss,WV,Northbend,4098 Weaver Ridge,0,1,YES,0,85150,13100,13100,58950,Chevrolet,Malibu,1998
39,651861,MALE,MD,2015-01-24,Vehicle Theft,?,Trivial Damage,NY,Hillsdale,6193 1st Hwy,1,1,?,2,4950,450,900,3600,Chevrolet,Silverado,2010
36,125324,MALE,Associate,2015-02-18,Multi-vehicle Collision,Side Collision,Major Damage,VA,Riverwood,4053 Sky Lane,17,3,?,2,51100,10220,5110,35770,Audi,A3,2006
54,398102,FEMALE,Masters,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,SC,Springfield,8964 Francis St,13,1,YES,2,100800,16800,16800,67200,Dodge,Neon,1997
27,514065,FEMALE,Masters,2015-01-17,Single Vehicle Collision,Side Collision,Total Loss,VA,Springfield,9748 Sky Drive,12,1,YES,2,90970,16540,16540,57890,Accura,RSX,2009
26,391652,MALE,JD,2015-01-12,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Northbend,2293 Washington Ave,11,1,?,1,81840,14880,7440,59520,Chevrolet,Malibu,2011
46,922167,MALE,Masters,2015-01-06,Single Vehicle Collision,Front Collision,Major Damage,NY,Northbend,3656 Solo Ave,18,1,?,0,54900,5490,5490,43920,Mercedes,C300,2013
35,442795,MALE,JD,2015-02-25,Single Vehicle Collision,Front Collision,Total Loss,NY,Northbend,8579 Apache Drive,17,1,YES,2,88660,8060,16120,64480,Mercedes,C300,2007
34,226330,FEMALE,JD,2015-02-16,Multi-vehicle Collision,Front Collision,Total Loss,NC,Riverwood,2003 Maple Hwy,22,3,?,1,18000,2250,2250,13500,Audi,A3,2009
39,134430,FEMALE,JD,2015-02-25,Vehicle Theft,?,Minor Damage,NY,Northbrook,5445 Tree Hwy,9,1,YES,1,5500,1100,550,3850,Chevrolet,Tahoe,2010
25,524230,FEMALE,High School,2015-02-21,Multi-vehicle Collision,Rear Collision,Major Damage,WV,Hillsdale,9730 2nd Hwy,11,3,?,1,73920,13440,6720,53760,Honda,Civic,2003
28,438817,FEMALE,High School,2015-02-16,Single Vehicle Collision,Rear Collision,Total Loss,VA,Columbus,7819 Oak St,11,1,NO,0,101860,18520,18520,64820,Honda,CRV,2007
57,293794,MALE,Associate,2015-02-09,Parked Car,?,Minor Damage,SC,Riverwood,1845 Best St,8,1,YES,0,5390,980,980,3430,Volkswagen,Passat,2008
39,868283,MALE,JD,2015-02-13,Single Vehicle Collision,Side Collision,Minor Damage,SC,Springfield,2500 Tree St,18,1,?,1,50490,5610,5610,39270,Nissan,Maxima,2001
47,828890,FEMALE,MD,2015-01-11,Single Vehicle Collision,Front Collision,Total Loss,SC,Arlington,6955 Pine Drive,13,1,NO,0,55500,5550,11100,38850,Mercedes,C300,2012
32,882920,MALE,High School,2015-01-02,Vehicle Theft,?,Minor Damage,VA,Hillsdale,6165 Rock Ridge,8,1,YES,1,7040,1280,640,5120,Nissan,Maxima,2015
26,918777,MALE,MD,2015-02-12,Multi-vehicle Collision,Rear Collision,Total Loss,VA,Northbrook,3653 Elm Drive,9,3,?,0,40160,5020,0,35140,Chevrolet,Tahoe,2003
44,212580,MALE,High School,2015-02-05,Multi-vehicle Collision,Side Collision,Total Loss,NC,Columbus,5812 3rd Hwy,17,2,YES,2,55680,6960,6960,41760,Saab,95,2006
36,602410,MALE,MD,2015-01-24,Vehicle Theft,?,Trivial Damage,WV,Springfield,4939 Best St,3,1,?,1,5300,530,530,4240,Jeep,Grand Cherokee,2001
43,976971,FEMALE,MD,2015-01-12,Parked Car,?,Trivial Damage,WV,Arlington,4964 Elm Lane,6,1,YES,0,5200,650,650,3900,Accura,MDX,2006
48,630226,MALE,Masters,2015-01-16,Single Vehicle Collision,Front Collision,Major Damage,NY,Riverwood,9588 Solo St,17,1,YES,2,59400,5940,11880,41580,Honda,Civic,2014
43,171254,FEMALE,College,2015-01-13,Vehicle Theft,?,Minor Damage,SC,Arlington,8718 Apache Lane,7,1,?,1,2520,280,280,1960,BMW,3 Series,1997
31,247116,MALE,PhD,2015-02-02,Vehicle Theft,?,Trivial Damage,NY,Hillsdale,3590 Best Hwy,9,1,NO,2,5760,960,960,3840,Suburu,Impreza,2011
49,505969,MALE,PhD,2015-02-28,Single Vehicle Collision,Rear Collision,Minor Damage,WV,Hillsdale,6149 Best Ridge,3,1,?,2,76700,7670,7670,61360,Suburu,Legacy,2006
39,653864,FEMALE,High School,2015-01-18,Parked Car,?,Trivial Damage,NY,Springfield,4116 Embaracadero Lane,6,1,NO,0,5920,740,740,4440,Chevrolet,Malibu,2015
62,586367,MALE,PhD,2015-02-15,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Riverwood,3486 Flute Ave,7,3,YES,0,64350,7150,7150,50050,Chevrolet,Tahoe,2009
39,896890,MALE,JD,2015-01-31,Multi-vehicle Collision,Rear Collision,Total Loss,WV,Northbend,5994 5th Ave,21,3,NO,1,19080,4240,2120,12720,Saab,93,1995
43,650026,FEMALE,Masters,2015-02-10,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Springfield,9138 3rd St,14,1,NO,2,54400,5440,5440,43520,BMW,M5,2011
32,547744,FEMALE,College,2015-02-26,Single Vehicle Collision,Rear Collision,Total Loss,SC,Columbus,3743 Andromedia Ridge,0,1,?,1,59800,5980,5980,47840,Ford,F150,1999
29,598124,MALE,Masters,2015-02-25,Multi-vehicle Collision,Side Collision,Major Damage,VA,Springfield,7644 Tree Ridge,14,3,?,0,72000,7200,7200,57600,Audi,A3,2005
48,436126,MALE,JD,2015-01-08,Multi-vehicle Collision,Side Collision,Total Loss,SC,Riverwood,3167 2nd St,13,4,NO,2,65070,7230,14460,43380,Mercedes,C300,2003
53,739447,MALE,Associate,2015-01-14,Parked Car,?,Trivial Damage,WV,Columbus,3327 Lincoln Drive,8,1,NO,0,8800,1760,880,6160,Suburu,Legacy,2002
24,427484,FEMALE,High School,2015-02-03,Vehicle Theft,?,Minor Damage,NC,Hillsdale,8621 Best Ridge,7,1,NO,2,6120,1020,1020,4080,Toyota,Corolla,2015
37,218684,MALE,High School,2015-01-05,Vehicle Theft,?,Trivial Damage,OH,Columbus,3878 Tree Lane,9,1,?,1,7080,1180,590,5310,Dodge,RAM,1999
50,565564,MALE,High School,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,NY,Riverwood,9760 Solo Lane,12,3,YES,2,34320,8580,4290,21450,Volkswagen,Passat,2009
40,743163,FEMALE,MD,2015-01-26,Multi-vehicle Collision,Side Collision,Major Damage,SC,Springfield,9138 1st St,6,3,?,1,53460,9720,9720,34020,Dodge,Neon,2004
33,604614,FEMALE,JD,2015-01-21,Single Vehicle Collision,Side Collision,Total Loss,NC,Columbus,3414 Elm Ave,11,1,YES,1,81360,6780,13560,61020,Suburu,Legacy,2009
43,509928,MALE,PhD,2015-02-06,Multi-vehicle Collision,Side Collision,Minor Damage,NC,Springfield,3172 Tree Ridge,5,3,?,1,81070,7370,14740,58960,Audi,A3,2006
26,593390,FEMALE,High School,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,NY,Columbus,6104 Oak Ave,14,1,NO,2,63120,5260,10520,47340,Audi,A5,2008
28,970607,MALE,Masters,2015-02-10,Vehicle Theft,?,Trivial Damage,NC,Springfield,9742 5th Ridge,17,1,?,2,7200,1440,720,5040,BMW,X5,2004
46,174701,FEMALE,MD,2015-02-23,Single Vehicle Collision,Rear Collision,Total Loss,WV,Hillsdale,8782 3rd St,0,1,?,2,70290,12780,6390,51120,Saab,92x,1998
43,529398,MALE,College,2015-01-09,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Northbrook,9798 Sky Ridge,21,3,NO,1,60190,9260,9260,41670,BMW,X6,1999
44,940942,MALE,College,2015-02-22,Single Vehicle Collision,Front Collision,Major Damage,NY,Hillsdale,5483 Francis Drive,18,1,YES,1,61380,11160,5580,44640,Honda,Civic,2009
49,442677,FEMALE,College,2015-02-21,Single Vehicle Collision,Front Collision,Minor Damage,NY,Springfield,2005 Texas Hwy,17,1,NO,2,28100,2810,5620,19670,Jeep,Grand Cherokee,2012
50,365364,FEMALE,High School,2015-02-04,Single Vehicle Collision,Side Collision,Total Loss,NY,Hillsdale,6634 Texas Ridge,19,1,YES,0,49060,8920,8920,31220,Chevrolet,Silverado,1995
50,114839,MALE,Associate,2015-01-07,Multi-vehicle Collision,Side Collision,Total Loss,NY,Columbus,8655 Cherokee Lane,17,3,?,1,57060,6340,6340,44380,Mercedes,E400,1995
38,872734,FEMALE,Associate,2015-01-17,Multi-vehicle Collision,Side Collision,Major Damage,VA,Arlington,4955 Lincoln Ridge,23,3,?,0,77880,12980,12980,51920,Accura,MDX,2008
41,267885,MALE,Masters,2015-01-28,Single Vehicle Collision,Front Collision,Total Loss,NY,Springfield,7705 Best Ridge,4,1,YES,0,73500,7350,14700,51450,Jeep,Wrangler,1999
52,740505,FEMALE,High School,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Riverwood,5838 Pine Lane,2,2,YES,2,88920,6840,13680,68400,Accura,RSX,2010
52,629663,FEMALE,Associate,2015-02-16,Single Vehicle Collision,Front Collision,Major Damage,NY,Arlington,7331 Sky Hwy,2,1,?,0,47630,12990,4330,30310,Toyota,Corolla,2005
53,839884,FEMALE,MD,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,WV,Hillsdale,5640 Embaracadero Lane,10,3,YES,1,59040,6560,6560,45920,Saab,93,2015
37,241562,FEMALE,MD,2015-01-09,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Columbus,9610 Cherokee St,2,1,?,0,79530,14460,7230,57840,Accura,MDX,2000
34,405533,FEMALE,High School,2015-02-09,Single Vehicle Collision,Side Collision,Total Loss,NY,Columbus,3550 Washington Ave,18,1,NO,0,53680,4880,4880,43920,Honda,CRV,2005
46,667021,MALE,JD,2015-02-16,Single Vehicle Collision,Side Collision,Minor Damage,SC,Arlington,5277 Texas Lane,18,1,NO,2,33550,3050,6100,24400,Volkswagen,Passat,2005
42,511621,FEMALE,Masters,2015-02-18,Multi-vehicle Collision,Side Collision,Total Loss,WV,Springfield,3654 Cherokee Ave,7,4,?,2,69100,6910,6910,55280,Toyota,Highlander,2006
35,476923,MALE,MD,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,OH,Hillsdale,7380 5th Hwy,19,3,?,2,79750,14500,14500,50750,Nissan,Pathfinder,1999
28,735822,MALE,JD,2015-02-04,Multi-vehicle Collision,Front Collision,Major Damage,PA,Riverwood,2539 Embaracadero Ridge,10,3,?,0,53600,5360,10720,37520,Audi,A5,2015
54,492745,MALE,Masters,2015-01-22,Multi-vehicle Collision,Side Collision,Minor Damage,NY,Riverwood,4693 Lincoln Hwy,16,3,NO,1,76560,12760,6380,57420,Nissan,Ultima,2009
32,130930,MALE,JD,2015-01-10,Single Vehicle Collision,Front Collision,Total Loss,NY,Arlington,2376 Sky Ridge,17,1,YES,1,41130,4570,4570,31990,Dodge,RAM,1999
26,261119,MALE,MD,2015-01-10,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Columbus,1273 Rock Lane,2,3,NO,2,78650,14300,7150,57200,Audi,A3,1996
41,280709,FEMALE,Associate,2015-02-16,Single Vehicle Collision,Side Collision,Major Damage,NY,Springfield,8281 Lincoln Lane,19,1,?,1,71060,6460,12920,51680,Saab,92x,2010
37,898573,FEMALE,Masters,2015-02-08,Single Vehicle Collision,Front Collision,Minor Damage,WV,Northbrook,6429 4th Hwy,0,1,YES,1,38830,3530,3530,31770,Suburu,Legacy,1999
43,547802,FEMALE,MD,2015-01-26,Single Vehicle Collision,Front Collision,Major Damage,SC,Riverwood,2201 4th Lane,16,1,?,0,53500,5350,5350,42800,Saab,92x,2015
38,600845,FEMALE,College,2015-02-01,Single Vehicle Collision,Front Collision,Major Damage,VA,Columbus,5506 Best St,20,1,YES,2,73700,7370,7370,58960,Chevrolet,Silverado,2001
40,390381,FEMALE,JD,2015-02-02,Parked Car,?,Trivial Damage,SC,Hillsdale,8404 Embaracadero St,10,1,?,2,6300,630,630,5040,Nissan,Ultima,2001
36,629918,FEMALE,College,2015-02-06,Multi-vehicle Collision,Rear Collision,Total Loss,NY,Riverwood,2117 Lincoln Hwy,21,3,?,2,65400,10900,10900,43600,Dodge,RAM,2012
28,208298,MALE,Associate,2015-01-01,Vehicle Theft,?,Trivial Damage,PA,Springfield,6359 MLK Ridge,3,1,YES,1,3200,640,320,2240,Mercedes,E400,2014
51,513099,FEMALE,Associate,2015-01-19,Single Vehicle Collision,Rear Collision,Major Damage,NY,Arlington,9751 Sky Ridge,7,1,YES,0,75400,7540,15080,52780,Dodge,RAM,2012
28,184938,FEMALE,JD,2015-01-17,Single Vehicle Collision,Side Collision,Minor Damage,NY,Northbend,9020 Elm Ave,19,1,YES,0,58140,6460,6460,45220,Saab,92x,2008
44,187775,FEMALE,JD,2015-02-01,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Columbus,1830 Sky St,15,3,?,0,98670,15180,15180,68310,Chevrolet,Tahoe,2010
27,326322,MALE,Masters,2015-01-02,Parked Car,?,Minor Damage,SC,Hillsdale,6067 Weaver Ridge,7,1,?,0,5900,1180,590,4130,Mercedes,E400,2009
30,146138,FEMALE,High School,2015-02-20,Single Vehicle Collision,Rear Collision,Major Damage,NC,Arlington,1840 Embaracadero Ave,19,1,?,1,64100,6410,6410,51280,Chevrolet,Malibu,2001
28,336047,FEMALE,Associate,2015-02-05,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Springfield,4058 Tree Drive,13,2,YES,0,55440,5040,10080,40320,Suburu,Forrestor,2009
27,532330,MALE,MD,2015-02-27,Multi-vehicle Collision,Side Collision,Major Damage,SC,Northbend,4983 MLK Ridge,2,3,NO,1,80850,7350,14700,58800,Ford,F150,2011
40,118137,FEMALE,High School,2015-01-27,Vehicle Theft,?,Trivial Damage,WV,Springfield,9744 Texas Drive,5,1,YES,1,7480,680,680,6120,Saab,95,1998
61,212674,MALE,PhD,2015-01-26,Single Vehicle Collision,Side Collision,Major Damage,OH,Riverwood,8821 Elm St,21,1,?,2,53640,5960,5960,41720,Nissan,Maxima,2004
23,935596,FEMALE,JD,2015-01-13,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Northbrook,2886 Tree Ridge,21,3,NO,2,63250,5750,11500,46000,Chevrolet,Tahoe,2002
57,737593,FEMALE,High School,2015-01-14,Multi-vehicle Collision,Side Collision,Major Damage,NY,Hillsdale,5236 Weaver Drive,7,3,NO,0,59040,9840,9840,39360,Dodge,RAM,1995
36,812025,MALE,Associate,2015-02-22,Multi-vehicle Collision,Side Collision,Total Loss,SC,Arlington,5862 Apache Ridge,16,3,YES,1,50500,10100,5050,35350,Accura,TL,2004
43,168151,MALE,Associate,2015-01-17,Single Vehicle Collision,Side Collision,Major Damage,SC,Columbus,7859 4th Ridge,13,1,YES,0,57690,6410,12820,38460,Mercedes,C300,2010
40,594739,FEMALE,MD,2015-02-02,Vehicle Theft,?,Trivial Damage,NY,Springfield,6259 Weaver St,2,1,YES,1,5940,660,660,4620,Toyota,Camry,2014
30,843227,FEMALE,PhD,2015-01-07,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Northbend,9980 Lincoln Ave,19,3,?,0,47790,5310,5310,37170,Suburu,Impreza,1995
29,283925,FEMALE,Masters,2015-02-02,Parked Car,?,Trivial Damage,SC,Riverwood,7828 Cherokee Ave,17,1,?,0,3850,350,350,3150,Dodge,Neon,2014
31,475588,MALE,PhD,2015-02-07,Single Vehicle Collision,Front Collision,Major Damage,NC,Arlington,5812 Oak St,3,1,?,2,59000,5900,5900,47200,Ford,Fusion,2013
43,751905,MALE,College,2015-01-18,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Arlington,2318 Washington Hwy,17,3,NO,0,70600,7060,14120,49420,Volkswagen,Passat,2013
40,226725,MALE,Masters,2015-01-10,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Hillsdale,8809 Flute St,5,3,?,1,61490,5590,11180,44720,Dodge,RAM,2001
30,942504,FEMALE,MD,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,SC,Northbend,3184 Oak Ave,9,1,NO,1,57640,5240,10480,41920,Volkswagen,Passat,2010
57,395572,FEMALE,High School,2015-01-25,Vehicle Theft,?,Trivial Damage,NC,Hillsdale,6493 Lincoln Lane,9,1,NO,1,6890,1060,1060,4770,Audi,A5,1999
45,889883,MALE,JD,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,PA,Columbus,7162 Maple Ave,9,3,?,2,53280,11840,5920,35520,Toyota,Camry,2006
29,818167,FEMALE,JD,2015-02-24,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,Springfield,5455 Tree Ridge,22,3,NO,0,78300,15660,7830,54810,BMW,X5,2009
37,277767,MALE,Associate,2015-01-04,Multi-vehicle Collision,Rear Collision,Major Damage,PA,Springfield,5778 Pine Ridge,15,3,YES,0,41490,4610,4610,32270,Nissan,Pathfinder,2001
36,842618,FEMALE,Associate,2015-02-25,Multi-vehicle Collision,Front Collision,Total Loss,SC,Hillsdale,3797 Solo Lane,14,3,YES,2,68970,12540,6270,50160,Chevrolet,Tahoe,2007
55,577810,MALE,College,2015-01-27,Multi-vehicle Collision,Rear Collision,Minor Damage,VA,Arlington,9373 Pine Hwy,6,3,?,2,85300,17060,8530,59710,Toyota,Highlander,2003
40,873114,FEMALE,Associate,2015-02-19,Parked Car,?,Minor Damage,NY,Hillsdale,1365 Francis Ave,6,1,NO,0,3080,560,280,2240,Audi,A3,2012
47,994538,MALE,MD,2015-01-31,Multi-vehicle Collision,Front Collision,Major Damage,WV,Arlington,9239 Washington Ridge,22,4,YES,2,71760,11040,11040,49680,Jeep,Grand Cherokee,2010
26,727792,FEMALE,JD,2015-01-18,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Arlington,3416 Washington Drive,14,3,?,1,59700,11940,11940,35820,Nissan,Ultima,2002
39,522506,FEMALE,Masters,2015-01-10,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Columbus,1923 2nd Hwy,16,3,NO,0,64920,10820,10820,43280,Ford,Fusion,1997
43,367595,FEMALE,Associate,2015-01-28,Multi-vehicle Collision,Front Collision,Major Damage,SC,Riverwood,6451 1st Hwy,10,3,?,0,37530,4170,4170,29190,Jeep,Wrangler,2008
42,586104,MALE,Associate,2015-02-16,Multi-vehicle Collision,Side Collision,Total Loss,WV,Columbus,1267 Francis Hwy,9,3,YES,1,64080,7120,7120,49840,Saab,93,2012
41,424862,MALE,PhD,2015-02-08,Single Vehicle Collision,Rear Collision,Minor Damage,PA,Northbrook,4158 Washington Lane,4,1,NO,1,60390,10980,5490,43920,BMW,M5,2004
33,512813,FEMALE,JD,2015-01-20,Multi-vehicle Collision,Side Collision,Major Damage,WV,Northbend,3796 Cherokee Drive,6,3,?,0,64350,5850,11700,46800,Nissan,Pathfinder,2011
38,356768,FEMALE,College,2015-02-06,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Northbend,7434 Oak Hwy,15,3,YES,2,70900,14180,7090,49630,BMW,X6,1997
39,330506,FEMALE,JD,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,PA,Columbus,5178 Weaver Hwy,12,3,NO,1,46560,7760,7760,31040,Nissan,Ultima,2012
33,779075,FEMALE,Associate,2015-01-14,Vehicle Theft,?,Trivial Damage,NY,Arlington,8477 Francis Hwy,3,1,NO,2,4730,860,860,3010,Chevrolet,Malibu,2013
40,799501,FEMALE,PhD,2015-02-18,Vehicle Theft,?,Minor Damage,SC,Northbrook,7693 Britain Lane,14,1,YES,0,6820,1240,1240,4340,Jeep,Grand Cherokee,2003
58,987905,MALE,PhD,2015-01-10,Single Vehicle Collision,Rear Collision,Major Damage,WV,Riverwood,3658 Rock Drive,10,1,?,0,59900,11980,5990,41930,BMW,X5,1997
36,967756,FEMALE,MD,2015-02-13,Multi-vehicle Collision,Side Collision,Major Damage,WV,Riverwood,2617 Andromedia Drive,17,3,?,1,79560,13260,13260,53040,Ford,Escape,2009
33,830414,FEMALE,High School,2015-02-17,Single Vehicle Collision,Front Collision,Total Loss,VA,Northbrook,9279 Oak Hwy,8,1,YES,0,70290,12780,6390,51120,Accura,MDX,2008
31,127313,MALE,JD,2015-01-07,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Hillsdale,3439 Andromedia Hwy,14,3,YES,2,63910,5810,11620,46480,Suburu,Forrestor,1999
40,786957,FEMALE,Associate,2015-01-29,Vehicle Theft,?,Trivial Damage,SC,Riverwood,5901 Elm Drive,6,1,?,1,6400,640,640,5120,Toyota,Camry,1997
25,332892,FEMALE,JD,2015-02-13,Single Vehicle Collision,Rear Collision,Major Damage,SC,Northbrook,3982 Washington Hwy,6,1,YES,1,66780,7420,7420,51940,Ford,Escape,2013
39,448642,FEMALE,College,2015-02-01,Parked Car,?,Minor Damage,VA,Northbrook,3376 5th Drive,8,1,NO,0,8760,1460,1460,5840,BMW,3 Series,2013
42,526039,MALE,Associate,2015-01-29,Single Vehicle Collision,Side Collision,Major Damage,NC,Arlington,3936 Tree Drive,13,1,YES,0,94160,8560,17120,68480,Chevrolet,Malibu,1996
40,444422,MALE,College,2015-02-06,Multi-vehicle Collision,Front Collision,Total Loss,OH,Springfield,6605 Tree Ave,0,3,?,0,51570,5730,11460,34380,BMW,X5,2010
